"Symbol","US Trading Venue","Trading Date","OTC Tier","Caveat Emptor","Security Type","Security Class","Security Name","Country of Domicile","Company Name"
"DTEMF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","DITEM EXPLS INC","Canada","Ditem Explorations Inc."
"DTGI","OTC Link","05/02/2017","OTCQB","N","Common Stock","","DIGERATI TECHS INC","USA","Digerati Technologies, Inc."
"DTHR","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","DTHERA SCIENCES","USA","Dthera Sciences"
"DTII","OTC Link","05/02/2017","OTCQB","N","Common Stock","","DEFENSE TECH INTL CORP","USA","Defense Technologies International Corp."
"DTLJF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","DISTILL GROUP LTD","","Distill Group, Ltd."
"DTLS","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","3D TOTAL SOLUTIONS INC","USA","3D Total Solutions Inc."
"DTNOF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","DNO ASA ORD","Norway","DNO ASA"
"DTNOY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","DNO ASA UNSP/ADR","Norway","DNO ASA"
"DTOR","OTC Link","05/02/2017","OTC Pink Limited","N","Common Stock","","DEL TORO SILVER CORP","USA","Del Toro Silver Corp."
"DTRC","OTC Link","05/02/2017","OTCQB","N","Common Stock","","DAKOTA TERRITORY RES CORP","USA","Dakota Territory Resource Corp"
"DTRK","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","DATATRAK INTL INC","USA","DATATRAK International, Inc."
"DTRL","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","DETROIT LEGAL NEWS CO","USA","Detroit Legal News Co."
"DTRO","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","DELTRON INC","USA","Deltron, Inc."
"DTRX","OTC Link","05/02/2017","OTCQX U.S. Premier","N","Common Stock","","DETREX CORP","USA","Detrex Corp."
"DTSL","OTC Link","05/02/2017","OTC Pink No Information","Y","Common Stock","","DELIVERY TECHNOLOGY SLTNS","USA","Delivery Technology Solutions, Inc."
"DTSRF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","MOVIT MEDIA CORP NEW","Canada","Movit Media Corp."
"DTSS","OTC Link","05/02/2017","OTCQB","N","Common Stock","","DATASEA INC","China","DATASEA INC"
"DTST","OTC Link","05/02/2017","OTCQB","N","Common Stock","","DATA STORAGE CORP","USA","Data Storage Corp."
"DUERF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","DUERR A G","","Duerr AG"
"DUETF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","DUET GRP QUADRUPLE STPLD","Australia","Duet Group"
"DUFRY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","DUFRY AG UNSP/ADR","Switzerland","Dufry AG Basel Namen"
"DUNIY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","DUNI AB UNSP/ADR","Sweden","Duni AB"
"DUOT","OTC Link","05/02/2017","OTCQB","N","Common Stock","","DUOS TECHNOLOGIES GRP INC","USA","Duos Technologies Group, Inc."
"DUROF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","DURO FELGUERA SA ORD","Spain","Duro Felguera SA"
"DURYY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","DURR AG SPON ADR","","Durr AG"
"DUTV","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","DIGITAL UTIL VNTRS INC","USA","Digital Utilities Ventures, Inc."
"DUUO","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","DUO WORLD INC","","Duo World Inc."
"DUVT","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","DURAVEST INC","USA","DuraVest, Inc."
"DVAR","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","DOVARRI INC","USA","Dovarri, Inc."
"DVDCF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","DAVIDE CAMPARI SPA","Italy","Davide Campari-Milano S.p.A."
"DVDCY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","DAVIDE CAMPRI ML UNSP/ADR","Italy","Davide Campari-Milano S.p.A."
"DVDR","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","DIVIDE DRIVES INC","USA","Divide Drives Inc."
"DVGG","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","DEVAGO INC","Dominican Republic","Devago, Inc."
"DVLN","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","DVL INC","USA","DVL, Inc."
"DVLY","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","DEER VALLEY CORP","USA","Deer Valley Corp."
"DVME","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","DIVERSE MEDIA GROUP INC","USA","Diverse Media Group, Inc."
"DVNHF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","FRONTIER SERVICES GRP LTD","Hong Kong","Frontier Services Group Ltd"
"DVOO","OTC Link","05/02/2017","OTC Pink No Information","Y","Common Stock","","DOI HOLDINGS INC","USA","DOI Holdings Inc."
"DVRRF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","DV RESOURCES LTD ORD","Canada","DV Resources Ltd"
"DWAHY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","DAIWA HOUSE IND UNSP/ADR","Japan","Daiwa House Industry Co. Ltd."
"DWIS","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","DINEWISE INC","USA","Dinewise, Inc."
"DWNX","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","DELHI BANK CORP","USA","Delhi Bank Corp."
"DWOG","OTC Link","05/02/2017","OTC Pink Limited","N","Common Stock","","DEEP WELL OIL & GAS INC","Canada","Deep Well Oil & Gas, Inc."
"DWTIF","OTC Link","05/02/2017","OTC Pink Current","N","Other Security Type","","VELOCITYSHS 3X INV CRUDE","","CREDIT SUISSE AG (Nassau Branch)"
"DXAEF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","DOXA ENERGY LTD ORD","Canada","Doxa Energy Ltd."
"DXBGY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","DEXIA SA UNSP/ADR","Belgium","Dexia S.A."
"DXIEF","OTC Link","05/02/2017","OTCQB","N","Ordinary Shares","","DXI ENERGY INC ORD","Canada","DXI Energy Inc."
"DXIN","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","DONG XIN BIO-TECH PHARMA","China","Dong Xin Bio-Tech Pharmaceutical, Inc."
"DXSPF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","DEXUS PPTY GROUP STL NEW","Australia","Dexus Property Group Stapled Security"
"DYAI","OTC Link","05/02/2017","OTCQX U.S. Premier","N","Common Stock","","DYADIC INTL INC","USA","Dyadic International, Inc."
"DYFSF","OTC Link","05/02/2017","OTCQB","N","Ordinary Shares","","DYNACERT INC","Canada","Dynacert Inc"
"DYGO","OTC Link","05/02/2017","OTCQB","N","Common Stock","","DYNAMIC GOLD CORP","Canada","Dynamic Gold Corp."
"DYNA","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","DYNASTAR HOLDINGS INC","USA","Dynastar Holdings, Inc."
"DYNE","OTC Link","05/02/2017","OTC Pink Limited","N","Common Stock","","DYNTEK INC NEW","USA","DynTek, Inc."
"DYNR","OTC Link","05/02/2017","OTCQB","N","Common Stock","","DYNARESOURCE INC","USA","DynaResource, Inc."
"DYRFF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","DUNES EXPLORATION LTD","USA","Dunes Exploration Ltd."
"DYSOY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","DYESOL LTD S/ADR","Australia","Dyesol Ltd."
"DZNA","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","DEZINA MARKETING INC","USA","Dezina Marketing, Inc."
"EACIQ","OTC Link","05/02/2017","OTC Pink Limited","N","Common Stock","","ERICKSON INC","","Erickson Incorporated"
"EACO","OTC Link","05/02/2017","OTCQB","N","Common Stock","","EACO CORP","USA","EACO Corp."
"EACR","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","EARN-A-CAR","South Africa","EARN-A-CAR INC."
"EADSF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","AIRBUS GROUP SE ORD","The Netherlands","Airbus Group SE"
"EADSY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","AIRBUS GROUP UNSP/ADR","The Netherlands","Airbus Group SE"
"EAIAF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","EAST ASIA MINERALS CORP","Canada","East Asia Minerals Corp."
"EAPH","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","EASTON PHARMS INC","Canada","Easton Pharmaceuticals, Inc."
"EARI","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","ENTERTAINMENT ARTS RESH","USA","Entertainment Arts Research, Inc."
"EARK","OTC Link","05/02/2017","OTCQX U.S.","N","Common Stock","","ECOARK HOLDINGS INC","USA","Ecoark Holdings, Inc."
"EASB","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","EASTON BANCORP INC (MD)","USA","Easton Bancorp, Inc."
"EAST","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","EASTERN SEC & PROTN SVCS","China","Eastern Security & Protection Services, Inc."
"EATR","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","EASTERN ASTERIA INC","USA","Eastern Asteria, Inc."
"EAUI","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","EAU TECHNOLOGIES INC","USA","EAU Technologies, Inc."
"EAWD","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","EUROSPORT ACTIVE WRLD CRP","USA","Eurosport Active World Corp."
"EBCOY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","EBARA CORP UNSP/ADR","Japan","Ebara Corp."
"EBKDY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","ERSTE GROUP BANK AG S/ADR","Austria","Erste Group Bank AG"
"EBKOF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","ERSTE GROUP BK AG ORD","Austria","Erste Group Bank AG"
"EBML","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","EBULLION INC","USA","eBullion, Inc."
"EBODF","OTC Link","05/02/2017","OTC Pink No Information","N","Ordinary Shares","","NEW ENERGY EXCHANGE LTD","China","New Energy Exchange Ltd."
"EBQZF","OTC Link","05/02/2017","OTC Pink Current","N","Other Security Type","","ETFS CMDTY SECS(IDX SECS)","United Kingdom","Etfs Commodity Securities Ltd."
"EBRPY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","EBRO FOODS SA UNSP/ADR","Spain","Ebro Foods SA"
"EBSH","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","EMPIRE BANCSHARES INC","USA","Empire Bancshares Inc."
"EBYH","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","E-BUY HOME INC","USA","E-Buy Home Inc."
"EBZW","OTC Link","05/02/2017","OTCQB","N","Common Stock","","EBIZWARE INC","USA","eBizware, Inc."
"ECCE","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","EAGLE FORD OIL & GAS INC","China","Eagle Ford Oil & Gas, Corp."
"ECCI","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","ECOLOCLEAN INDUSTRIES INC","USA","Ecoloclean Industries, Inc."
"ECCO","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","E C CONSULTING INTL INC","Canada","E C Consulting International Inc"
"ECDC","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","EAST COAST DIVERSIFIED","USA","East Coast Diversified Corp."
"ECDP","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","ECO DEPOT INC","USA","Eco Depot, Inc."
"ECEZ","OTC Link","05/02/2017","OTC Pink Limited","N","Common Stock","","ECOSCIENCES INC","USA","Ecosciences, Inc."
"ECGI","OTC Link","05/02/2017","OTC Pink Limited","N","Common Stock","","EVENT CARDIO GROUP INC","USA","Event Cardio Group, Inc."
"ECGR","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","BELLATORA INC","USA","Bellatora Inc."
"ECIA","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","ENCISION INC","USA","Encision, Inc."
"ECIFY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","ELECTRICITE FR UNSP/ADR","France","Electricite de France SA"
"ECIG","OTC Link","05/02/2017","OTCQB","N","Common Stock","","ELECTRONIC CIG INT GR LTD","USA","Electronic Cigarettes International Group, Ltd."
"ECMH","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","ENCOMPASS HLDGS INC","USA","Encompass Holdings, Inc."
"ECMT","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","ECOMAT INC","USA","Ecomat, Inc."
"ECOB","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","ECO BUILDING PRODUCTS","USA","Eco Building Products, Inc."
"ECOP","OTC Link","05/02/2017","OTC Pink Limited","N","Common Stock","","ECO-SHIFT POWER CORP","Canada","Eco-Shift Power Corp."
"ECORF","OTC Link","05/02/2017","OTCQB","N","Ordinary Shares","","ELCORA ADVANCED MAT ORD","Canada","Elcora Advanced Materials Corp."
"ECOS","OTC Link","05/02/2017","OTC Pink Limited","N","Common Stock","","ECOLOCAP SOLUTIONS","USA","Ecolocap Solutions, Inc."
"ECPCY","OTC Link","05/02/2017","OTCQX International Premier","N","American Depository Receipts","","ESTACIO PARTICIPA S/ADR","Brazil","Estacio Participacoes S.A."
"ECPL","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","ECOPLUS INC","USA","EcoPlus, Inc."
"ECPN","OTC Link","05/02/2017","OTCQB","N","Common Stock","","EL CAPTN PRECIOUS MTL INC","USA","El Capitan Precious Metals, Inc."
"ECPO","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","ECO-PETROLEUM SLTNS INC","USA","Eco-Petroleum Solutions, Inc."
"ECRO","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","ECC CAPITAL CORP","USA","ECC Capital Corp."
"ECSIF","OTC Link","05/02/2017","OTCQB","N","Ordinary Shares","","ECOBALT SOLUTIONS ORD","Canada","eCobalt Solutions, Inc."
"ECSL","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","ECARE SOLUTIONS INC","USA","eCare Solutions, Inc."
"ECSNF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","ECOSYNTHETIX INC ORD","Canada","Ecosynthetix, Inc."
"ECTE","OTC Link","05/02/2017","OTCQB","N","Common Stock","","ECHO THERAPEUTICS INC","USA","Echo Therapeutics, Inc."
"ECTH","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","ECOTECH ENERGY GROUP","USA","ecoTECH Energy Group, Inc."
"ECYCF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","ETFS CMDTY SECS SOYBEANS","United Kingdom","Etfs Commodity Securities Ltd."
"EDCI","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","EDCI HLDGS INC","USA","EDCI Holdings, Inc."
"EDESY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","ELDERS LTD UNSP/ADR","Australia","Elders Ltd"
"EDEYF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","EDEN ENERGY LTD ORD","","Eden Energy, Ltd."
"EDHD","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","EDD HELMS GROUP INC NEW","USA","Edd Helms Group, Inc."
"EDIG","OTC Link","05/02/2017","OTCQB","N","Common Stock","","E DIGITAL CORP","USA","e.Digital Corp."
"EDMC","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","EDUCATION MGMT CORP","USA","Education Management Corp."
"EDNMY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","EDENRED SA UNSP/ADR","France","Edenred Malakoff"
"EDPFY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","EDP ENERGIAS PRTGL S/ADR","Portugal","EDP Energias de Portugal SA"
"EDRG","OTC Link","05/02/2017","OTCQB","N","Common Stock","","EIGHT DRAGONS CO","USA","Eight Dragons Co."
"EDRVF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","EDP RENOVAIS SA ORD","","EDP Renovaveis SA"
"EDRWY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","ELECTRIC PWR DEV CO ADR","Japan","Electric Power Development Co., Ltd."
"EDSFF","OTC Link","05/02/2017","OTC Pink No Information","N","Ordinary Shares","","EXCEED CO LTD","","Exceed Company Ltd"
"EDTA","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","E-DATA CORP","USA","E-data Corp."
"EDTXF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","SPECTRAL MEDICAL INC ORD","Canada","Spectral Medical Inc."
"EDVMF","OTC Link","05/02/2017","OTCQX International Premier","N","Ordinary Shares","","ENDEAVOUR MINING CORP","United Kingdom","Endeavour Mining Corporation"
"EDWZF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","EDGEWATER EXPLOR ORD","Canada","Edgewater Exploration Ltd."
"EDXC","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","ENDEXX CORP","USA","ENDEXX Corp."
"EEDG","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","ENERGY EDGE TECHS CORP","USA","Energy Edge Technologies Corporation"
"EEGC","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","EMPIRE ENERGY CORP INTL","USA","Empire Energy Corp. International"
"EEGI","OTC Link","05/02/2017","OTC Pink Limited","N","Common Stock","","ELINE ENTMT GROUP INC","USA","Eline Entertainment Group, Inc."
"EEGNY","OTC Link","05/02/2017","OTCQB","N","American Depository Receipts","","EMPIRE ENERGY GROUP S/ADR","Australia","Empire Energy Group Limited"
"EEIG","OTC Link","05/02/2017","OTC Pink Limited","N","Common Stock","","024 PHARMA INC","USA","024 Pharma, Inc."
"EEKAF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","ELTEK ASA","Norway","Eltek ASA"
"EENC","OTC Link","05/02/2017","OTC Pink No Information","Y","Common Stock","","EMERGENT ENERGY CORP","Canada","Emergent Energy Corp."
"EENEY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","ELECTROCOMPONENTS UNS/ADR","United Kingdom","Electrocomponenets PLC"
"EENR","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","ELITE ENERGIES INC","USA","Elite Energies, Inc."
"EENX","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","ENERGENX INC","USA","Energenx, Inc."
"EESE","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","ENERGY & ENVIRONMENTAL SV","USA","Energy & Environmental Services Inc."
"EESH","OTC Link","05/02/2017","OTC Pink Limited","N","Common Stock","","EESTECH INC","Australia","EESTech, Inc."
"EESI","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","ENCOMPASS ENERGY SVCS INC","USA","Encompass Energy Services, Inc."
"EESO","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","ENZYME ENVIRNMNTL SLTNS","USA","Enzyme Environmental Solutions, Inc."
"EEYUF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","ESSENTIAL ENERGY SVCS LTD","Canada","Essential Energy Services Ltd."
"EFCT","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","EFACTOR GROUP CORP","USA","EFactor Group Corp."
"EFFI","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","EFFTEC INTL INC","USA","EffTec International, Inc."
"EFGSY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","EIFFAGE SA UNSP/ADR","France","Eiffage Sa"
"EFGXY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","EFG INTERNATIONAL AG ADR","Switzerland","EFG International AG"
"EFIN","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","EASTERN MICH FINCL CORP","USA","Eastern Michigan Financial Corp."
"EFIR","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","EGPI FIRECREEK INC","USA","EGPI Firecreek, Inc."
"EFLI","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","CELL TECH INTL INC","USA","Cell Tech International Incorporated"
"EFLN","OTC Link","05/02/2017","OTC Pink Limited","N","Common Stock","","EFUEL EFN CORP NEW","USA","Efuel EFN Corp."
"EFLO","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","EFLO ENERGY INC","USA","EFLO Energy, Inc."
"EFLS","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","EXERCISE FOR LIFE SYS INC","USA","Exercise For Life Systems, Inc."
"EFLT","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","EFLEETS CORPORATION","USA","eFleets Corporation"
"EFLVF","OTC Link","05/02/2017","OTCQX International","N","Ordinary Shares","","ELECTROVAYA INC","Canada","Electrovaya Inc."
"EFSG","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","A","ENTERPRISE FINL SVCS GP A","USA","Enterprise Financial Services Group, Inc."
"EFSI","OTC Link","05/02/2017","OTCQX U.S. Premier","N","Common Stock","","EAGLE FINCL SVCS INC","USA","Eagle Financial Services, Inc."
"EFTB","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","EFT HOLDINGS INC","USA","EFT Holdings, Inc."
"EGBB","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","EARTH GEN-BIOFUEL INC","USA","Earth Gen-Biofuel, Inc."
"EGDCY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","ENERGY DEV UNSP/ADR","Philippines","Energy Development Corp."
"EGDD","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","EASTERN GOLDFIELDS INC","USA","Eastern Goldfields, Inc."
"EGDFF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","ENERGOLD DRILLING CORP","Canada","Energold Drilling Corp."
"EGDS","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","FUTURE WORLD GROUP INC","USA","Future World Group, Inc."
"EGDW","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","EDGEWATER BANCORP INC","USA","Edgewater Bancorp Inc."
"EGFEF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","EUROBANK ERGASIAS SA ORD","Greece","Eurobank Ergasias SA"
"EGFEY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","EFG EURO EG SA UNSP/ADR","Greece","Eurobank Ergasias SA"
"EGIEY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","ENGIE BRASIL ENE SA S/ADR","Brazil","Engie Brasil Energia S A"
"EGKPF","OTC Link","05/02/2017","OTC Pink Current","N","Warrants","","EAGLE BULK SHPNG 21 WTS","USA","Eagle Bulk Shipping, Inc."
"EGMCF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","EMGOLD MINING CORP","Canada","Emgold Mining Corp."
"EGOC","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","ENERGY 1 CORP","USA","Energy 1 Corp."
"EGOH","OTC Link","05/02/2017","OTC Pink Limited","N","Common Stock","","EAGLE OIL HOLDING CO","USA","Eagle Oil Holding Company, Inc."
"EGRAF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","ENERGY RES OF AUST LTD","Australia","Energy Resources of Australia Ltd."
"EGRAY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","ENERGY RES AUS UNSP/ADR A","Australia","Energy Resources of Australia Ltd."
"EGRKH","OTC Link","05/02/2017","OTC Pink Current","N","Preferred Stock","","ENTERGY ARKANSAS 4.56PR65","USA","Entergy Arkansas, Inc."
"EGRKI","OTC Link","05/02/2017","OTC Pink Current","N","Preferred Stock","","ENTERGY ARKANSAS 4.72 PR","USA","Entergy Arkansas, Inc."
"EGRKM","OTC Link","05/02/2017","OTC Pink Current","N","Preferred Stock","","ENTERGY ARKANSAS 4.56 PR","USA","Entergy Arkansas, Inc."
"EGRKN","OTC Link","05/02/2017","OTC Pink Current","N","Preferred Stock","","ENTERGY ARKANSAS 4.32 PR","USA","Entergy Arkansas, Inc."
"EGRN","OTC Link","05/02/2017","OTCQB","N","Common Stock","","EVERGREEN-AGRA INC","USA","Evergreen-Agra Inc."
"EGRNY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","CHINA EVERGRANDE UNSP/ADR","China","China Evergrande Group"
"EGTK","OTC Link","05/02/2017","OTC Pink Limited","N","Common Stock","","ENERGTEK INC","USA","Energtek, Inc."
"EGTYF","OTC Link","05/02/2017","OTCQB","N","Ordinary Shares","","EGUANA TECHS INC ORD","Canada","Eguana Technologies Inc"
"EGXP","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","EAGLE EXPLORATION CO","USA","Eagle Exploration Co."
"EGYF","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","ENERGY FINDERS INC","USA","Energy Finders, Inc."
"EGYH","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","ENERGY HOLDINGS INTL INC","USA","Energy Holdings International, Inc."
"EHOS","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","EHOUSE GLOBAL INC","USA","Ehouse Global, Inc."
"EHSK","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","ENHANCE SKIN PRODUCTS INC","USA","Enhance Skin Products, Inc."
"EHVVF","OTC Link","05/02/2017","OTCQB","N","Ordinary Shares","","EHAVE INC ORD","Canada","Ehave Inc."
"EIHC","OTC Link","05/02/2017","OTC Pink No Information","Y","Common Stock","","ENVIRONMENTAL INFRST","USA","Environmental Infrastructure Holdings Corp."
"EIHDF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","888 HOLDINGS PLC ORD","Gibraltar","888 Holdings plc."
"EINF","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","ENTERPRISE INFORMATCS","USA","Enterprise Informatics, Inc."
"EIPAF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","ENI SPA ROMA (ITALY)","Italy","ENI S.p.A."
"EIPC","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","ENABLE IPC CORP","USA","Enable IPC Corp."
"EJPRY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","EAST JAPAN RWY UNSP/ADR","Japan","East Japan Railway Co."
"EKCS","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","ELECTRONIC CNTRL SEC INC","USA","Electronic Control Security, Inc."
"EKGGF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","CARDIOCOM SLTNS INC","Canada","CardioCom Solutions, Inc."
"EKKH","OTC Link","05/02/2017","OTCQB","N","Common Stock","","EASON ED KINGDOM HLDGS","China","Eason Education Kingdom Holdings, Inc."
"EKNL","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","EKO INTERNATIONAL CRP NEW","Canada","EKO International Corp."
"EKPTF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","ELK PETROLEUM LTD","Australia","Elk Petroleum, Ltd."
"EKTAF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","ELEKTA B SHS","Sweden","Elekta AB"
